condition,round,semdis,id
treatment,3,1.13551,ego_trt_109
treatment,3,1.04111,ego_trt_110
treatment,3,1.02757,ego_trt_111
treatment,3,1.04869,ego_trt_112
treatment,3,1.03074,ego_trt_113
treatment,3,1.07383,ego_trt_114
treatment,3,1.02167,ego_trt_115
treatment,3,1.02818,ego_trt_116
treatment,3,0.96766,ego_trt_117
treatment,3,0.94015,ego_trt_118
treatment,3,1.10507,ego_trt_119
treatment,3,1.01589,ego_trt_120
treatment,3,1.02252,ego_trt_121
treatment,3,1.07838,ego_trt_122
treatment,3,0.99704,ego_trt_123
treatment,3,1.18489,ego_trt_124
treatment,3,0.97023,ego_trt_125
treatment,3,1.06294,ego_trt_126
treatment,3,1.00458,ego_trt_127
treatment,3,0.96859,ego_trt_128
treatment,3,1.0688,ego_trt_129
treatment,3,1.04063,ego_trt_130
treatment,3,1.14729,ego_trt_131
treatment,3,1.0765,ego_trt_132
treatment,3,1.07368,ego_trt_133
treatment,3,1.04361,ego_trt_134
treatment,3,1.0688,ego_trt_135
treatment,3,1.08063,ego_trt_136
treatment,3,1.05879,ego_trt_137
treatment,3,1.11198,ego_trt_138
treatment,3,1.04869,ego_trt_139
treatment,3,1.02874,ego_trt_140
treatment,3,1.04869,ego_trt_141
treatment,3,1.03494,ego_trt_142
treatment,3,0.99381,ego_trt_143
treatment,3,1.05692,ego_trt_144
treatment,3,0.99257,ego_trt_145
treatment,3,1.04393,ego_trt_146
treatment,3,1.0415,ego_trt_147
treatment,3,0.96721,ego_trt_148
treatment,3,1.00947,ego_trt_149
treatment,3,1.07159,ego_trt_150
treatment,3,1.07732,ego_trt_151
treatment,3,1.1008,ego_trt_152
treatment,3,1.05776,ego_trt_153
treatment,3,1.00659,ego_trt_154
treatment,3,0.95524,ego_trt_155
treatment,3,1.08961,ego_trt_156
treatment,3,1.07847,ego_trt_157
treatment,3,1.0397,ego_trt_158
treatment,3,1.04235,ego_trt_159
treatment,3,1.03068,ego_trt_160
treatment,3,0.98291,ego_trt_161
treatment,3,0.9515,ego_trt_162
treatment,3,1.12065,ego_trt_163
treatment,3,1.08961,ego_trt_164
treatment,3,1.03517,ego_trt_165
treatment,3,1.03046,ego_trt_166
treatment,3,0.9992,ego_trt_167
treatment,3,0.96902,ego_trt_168
treatment,3,1.01425,ego_trt_169
treatment,3,1.0577,ego_trt_170
treatment,3,1.06631,ego_trt_171
treatment,3,1.06192,ego_trt_172
treatment,3,1.04238,ego_trt_173
treatment,3,1.04235,ego_trt_174
treatment,3,1.04661,ego_trt_175
treatment,3,1.04869,ego_trt_176
treatment,3,1.04869,ego_trt_177
treatment,3,1.02343,ego_trt_178
treatment,3,1.01041,ego_trt_179
treatment,3,1.02377,ego_trt_180
control,4,1.06306,ego_ctrl_1
control,4,0.96672,ego_ctrl_2
control,4,1.03609,ego_ctrl_3
control,4,1.10177,ego_ctrl_4
control,4,0.93263,ego_ctrl_5
control,4,1.04762,ego_ctrl_6
control,4,1.10151,ego_ctrl_7
control,4,1.03785,ego_ctrl_8
control,4,1.06154,ego_ctrl_9
control,4,0.99136,ego_ctrl_10
control,4,1.0554,ego_ctrl_11
control,4,1.07465,ego_ctrl_12
control,4,1.0409,ego_ctrl_13
control,4,1.05995,ego_ctrl_14
