marginal_distinct_cnt,condition,round,network_size,id
6,treatment,3,2,ego_trt_146
3,treatment,3,3,ego_trt_147
5,treatment,3,4,ego_trt_148
2,treatment,3,5,ego_trt_149
2,treatment,3,6,ego_trt_150
4,treatment,3,7,ego_trt_151
0,treatment,3,8,ego_trt_152
4,treatment,3,9,ego_trt_153
4,treatment,3,10,ego_trt_154
4,treatment,3,11,ego_trt_155
3,treatment,3,12,ego_trt_156
2,treatment,3,13,ego_trt_157
1,treatment,3,14,ego_trt_158
1,treatment,3,15,ego_trt_159
3,treatment,3,16,ego_trt_160
1,treatment,3,17,ego_trt_161
1,treatment,3,18,ego_trt_162
5,treatment,4,1,ego_trt_145
5,treatment,4,2,ego_trt_146
6,treatment,4,3,ego_trt_147
5,treatment,4,4,ego_trt_148
4,treatment,4,5,ego_trt_149
3,treatment,4,6,ego_trt_150
2,treatment,4,7,ego_trt_151
4,treatment,4,8,ego_trt_152
3,treatment,4,9,ego_trt_153
4,treatment,4,10,ego_trt_154
3,treatment,4,11,ego_trt_155
3,treatment,4,12,ego_trt_156
1,treatment,4,13,ego_trt_157
2,treatment,4,14,ego_trt_158
0,treatment,4,15,ego_trt_159
6,treatment,4,16,ego_trt_160
1,treatment,4,17,ego_trt_161
1,treatment,4,18,ego_trt_162
5,treatment,5,1,ego_trt_145
4,treatment,5,2,ego_trt_146
5,treatment,5,3,ego_trt_147
4,treatment,5,4,ego_trt_148
2,treatment,5,5,ego_trt_149
3,treatment,5,6,ego_trt_150
4,treatment,5,7,ego_trt_151
2,treatment,5,8,ego_trt_152
3,treatment,5,9,ego_trt_153
5,treatment,5,10,ego_trt_154
3,treatment,5,11,ego_trt_155
0,treatment,5,12,ego_trt_156
2,treatment,5,13,ego_trt_157
0,treatment,5,14,ego_trt_158
2,treatment,5,15,ego_trt_159
2,treatment,5,16,ego_trt_160
1,treatment,5,17,ego_trt_161
1,treatment,5,18,ego_trt_162
4,treatment,2,1,ego_trt_163
4,treatment,2,2,ego_trt_164
6,treatment,2,3,ego_trt_165
3,treatment,2,4,ego_trt_166
5,treatment,2,5,ego_trt_167
2,treatment,2,6,ego_trt_168
4,treatment,2,7,ego_trt_169
3,treatment,2,8,ego_trt_170
0,treatment,2,9,ego_trt_171
3,treatment,2,10,ego_trt_172
1,treatment,2,11,ego_trt_173
0,treatment,2,12,ego_trt_174
2,treatment,2,13,ego_trt_175
0,treatment,2,14,ego_trt_176
0,treatment,2,15,ego_trt_177
3,treatment,2,16,ego_trt_178
0,treatment,2,17,ego_trt_179
3,treatment,2,18,ego_trt_180
4,treatment,3,1,ego_trt_163
