condition,networksize,gini
treatment,15,0.24444444444444444
treatment,16,0.25
treatment,17,0.2647058823529412
treatment,18,0.26851851851851855
treatment,1,0
treatment,2,0
treatment,3,0.13333333333333333
treatment,4,0.16666666666666666
treatment,5,0.13333333333333333
treatment,6,0.2222222222222222
treatment,7,0.2619047619047619
treatment,8,0.3125
treatment,9,0.35185185185185186
treatment,10,0.36666666666666664
treatment,11,0.3787878787878788
treatment,12,0.3472222222222222
treatment,13,0.34615384615384615
treatment,14,0.35714285714285715
treatment,15,0.35555555555555557
treatment,16,0.375
treatment,17,0.39215686274509803
treatment,18,0.3888888888888889
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.16666666666666666
treatment,4,0.25
treatment,5,0.24
treatment,6,0.26666666666666666
treatment,7,0.3333333333333333
treatment,8,0.3333333333333333
treatment,9,0.37037037037037035
treatment,10,0.38333333333333336
treatment,11,0.36363636363636365
treatment,12,0.3333333333333333
treatment,13,0.28205128205128205
treatment,14,0.2619047619047619
treatment,15,0.28888888888888886
treatment,16,0.3020833333333333
treatment,17,0.24509803921568626
treatment,18,0.26851851851851855
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.16666666666666666
treatment,4,0.25
treatment,5,0.24
treatment,6,0.2222222222222222
treatment,7,0.16666666666666666
treatment,8,0.22916666666666666
treatment,9,0.2777777777777778
treatment,10,0.31666666666666665
treatment,11,0.3484848484848485
treatment,12,0.3611111111111111
treatment,13,0.3333333333333333
treatment,14,0.34523809523809523
treatment,15,0.34444444444444444
treatment,16,0.34375
treatment,17,0.28431372549019607
treatment,18,0.2777777777777778
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.25
treatment,4,0.1875
treatment,5,0.15
treatment,6,0.125
treatment,7,0.22857142857142856
treatment,8,0.3125
treatment,9,0.3148148148148148
treatment,10,0.3333333333333333
treatment,11,0.36363636363636365
treatment,12,0.3611111111111111
treatment,13,0.3333333333333333
treatment,14,0.35714285714285715
treatment,15,0.37777777777777777
treatment,16,0.375
treatment,17,0.3137254901960784
treatment,18,0.3333333333333333
treatment,1,0
treatment,2,0
treatment,3,0.13333333333333333
treatment,4,0.15
treatment,5,0.16
treatment,6,0.23333333333333334
treatment,7,0.17142857142857143
treatment,8,0.175
treatment,9,0.2222222222222222
treatment,10,0.2
treatment,11,0.23636363636363633
treatment,12,0.25
treatment,13,0.23076923076923078
treatment,14,0.2976190476190476
treatment,15,0.3
treatment,16,0.2916666666666667
treatment,17,0.2549019607843137
treatment,18,0.2777777777777778
treatment,1,0
treatment,2,0
treatment,3,0.16666666666666666
treatment,4,0
treatment,5,0.1
treatment,6,0.125
treatment,7,0.2571428571428571
treatment,8,0.3
treatment,9,0.28888888888888886
treatment,10,0.2
treatment,11,0.19999999999999998
